meal_id,1,2,3,4,5,6,7,8,9,10
215,215,283,56,202,185,205,40,174,288,34
219,219,154,96,84,157,54,231,57,265,190
220,220,144,293,265,95,118,188,207,247,1
221,221,285,119,141,11,1,102,60,192,82
222,222,15,267,129,48,200,239,92,172,39
224,224,67,36,145,139,78,113,174,91,127
229,229,136,115,164,45,265,280,114,47,273
231,231,42,131,279,150,54,136,257,219,190
234,234,92,48,186,120,39,100,105,176,78
235,235,107,163,156,118,196,88,25,142,278
236,236,286,193,4,83,181,270,281,259,252
239,239,179,60,192,276,120,108,158,172,186
247,247,188,144,123,293,134,90,263,95,220
250,250,38,294,165,210,3,291,46,152,261
251,251,199,154,84,30,260,22,255,62,6
252,252,83,181,286,281,75,50,23,236,299
255,255,199,257,42,30,173,279,71,137,131
256,256,124,207,134,280,47,53,156,44,127
257,257,42,190,255,189,131,231,154,258,58
258,258,42,131,279,198,257,84,255,190,30
259,259,24,181,298,270,178,236,83,137,84
260,260,120,22,69,6,62,179,111,251,263
261,261,291,294,165,210,37,152,46,250,38
262,262,275,203,270,75,197,26,4,131,184
263,263,247,22,188,144,273,293,134,123,229
264,264,167,91,18,156,172,67,54,150,40
265,265,144,280,295,229,63,136,220,219,231
267,267,148,186,222,15,269,205,69,234,126
269,269,69,46,267,167,289,213,15,264,91
270,270,75,24,259,236,262,29,181,298,203
273,273,295,89,274,168,63,229,44,203,263
274,274,89,168,27,295,103,114,273,63,135
275,275,184,262,203,195,197,166,26,75,4
276,276,113,105,15,145,179,224,91,239,92
278,51,25,278,102,163,53,117,7,235,111
279,279,42,258,111,131,137,84,96,231,190
280,280,265,124,144,295,134,47,256,136,229
281,281,29,286,63,252,236,38,4,299,83
283,215,283,56,202,185,205,40,174,288,34
285,11,119,285,82,221,148,36,1,173,206
286,286,236,281,193,252,50,4,83,29,270
287,287,202,126,72,58,122,178,40,52,189
288,288,174,100,215,283,40,56,205,22,289
289,289,210,213,46,269,174,288,206,299,100
290,290,206,207,37,184,256,198,135,53,72
291,291,261,294,165,210,250,145,46,113,152
293,293,118,188,220,247,144,107,123,134,263
294,294,165,152,210,291,250,46,261,38,48
295,295,63,265,144,280,89,273,274,168,229
298,298,24,141,259,83,87,102,195,221,181
299,299,21,29,4,77,281,252,23,75,289
